Date idea,Theme,Category,Url
Dance workout,Active,Workout,https://www.youtube.com/channel/UClTBXlWPx7L_jhJ_vdRAu-A
Cook,Active,Activity,none
Paint,Active,Activity,none
Trivia,Virtual,Game,https://app.brightful.me/dashboard?tab=host
Netflix,Virtual,Other,https://www.netflix.com/browse
Board game 1,Virtual,Game,https://www.tabletopsimulator.com/games
Board game 2,Virtual,Game,https://tabletopia.com/
Board game 3,Virtual,Game,https://en.boardgamearena.com/join
Card games,Virtual,Game,none
Jackbox games,Virtual,Game,none
Mario kart,Virtual,Game,none
Personality Test,Virtual,Other,https://tests.enneagraminstitute.com/
